學校代碼,學校名稱,縣市別,中文圖書收藏冊數(冊)-總類,中文圖書收藏冊數(冊)-哲學類,中文圖書收藏冊數(冊)-宗教類,中文圖書收藏冊數(冊)-科學類,中文圖書收藏冊數(冊)-應用科學類,中文圖書收藏冊數(冊)-社會科學類,中文圖書收藏冊數(冊)-史地類,中文圖書收藏冊數(冊)-語言文學類,中文圖書收藏冊數(冊)-藝術類,外文圖書收藏冊數(冊),期刊合訂本(未以圖書編目)(冊),線上資料庫(種),光碟及其他類型資料庫(種),電子期刊(種),電子書(種),視聽資料(件),圖書閱覽座位數(個),全年圖書(含視聽資料及其他館藏)借閱人次(人次),全年圖書(含視聽資料及其他館藏)借閱冊次(冊次),全年線上及光碟資料庫(含電子書及電子期刊)檢索(人次),報紙(種),中.日文期刊(種),西文期刊(種)
0001,國立政治大學,30 臺北市,303081,46628,34971,29142,69942,279767,198168,186511,17485,594652,277102,332,11,97745,835758,27437,5055,162236,486708,6800626,77,616,489
0002,國立清華大學,18 新竹市,89745,46496,25987,73735,92648,200657,132956,206241,66792,444865,367087,366,0,184304,4475835,137646,3292,96997,247989,5435194,22,2047,690
0003,國立臺灣大學,30 臺北市,231473,59948,64475,79160,212423,397743,282393,262086,72805,1849834,891823,633,0,82549,3411391,190337,3738,136754,530740,15207324,18,1771,1042
0004,國立臺灣師範大學,30 臺北市,142752,75696,25256,63615,78810,257825,164720,223718,74709,529824,131701,368,0,103000,1654000,103807,1356,54828,150225,6954263,12,400,1496
0005,國立成功大學,21 臺南市,197537,36526,22598,43837,111370,130004,104078,129931,43547,591706,449072,607,8,114506,969307,58325,2438,45854,320823,5440749,12,1651,108
0006,國立中興大學,19 臺中市,110317,27938,12667,53735,100054,109035,72422,104196,24366,290153,150801,422,0,44909,1530048,69740,2047,55748,431047,2098451,13,897,75
0007,國立陽明交通大學,18 新竹市,128238,32582,13048,77397,122032,111482,58904,114077,51429,469114,239311,311,0,156720,1055443,88337,2241,59302,145351,8793165,14,769,135
0008,國立中央大學,03 桃園市,114698,27059,19088,24595,45346,78031,59714,94705,29463,235459,152699,346,0,86858,3021008,44403,1485,35498,144395,1291404,9,789,48
0009,國立中山大學,50 高雄市,47839,29305,14081,37955,67430,92705,61839,104879,26076,343999,135290,235,37,135511,526532,27013,1057,21697,72253,567004,10,333,46
0012,國立臺灣海洋大學,17 基隆市,43903,14863,3888,18781,43258,43315,22957,39411,11238,93869,76829,240,8,33838,497588,8593,533,11485,66045,1058090,0,479,93
0013,國立中正大學,10 嘉義縣,97480,32114,21913,31394,64422,131096,79105,114104,39841,344973,137365,240,0,87018,493274,31158,1756,30473,95663,1172683,16,674,241
0014,國立高雄師範大學,50 高雄市,82245,20121,6864,16765,23243,71430,40211,71932,24799,130398,88926,50,3,87829,572063,27322,1422,18427,166665,510222,4,428,124
0015,國立彰化師範大學,07 彰化縣,51899,19368,7847,22332,41172,81405,31468,56841,16401,95896,50253,77,0,79160,267795,34885,1137,22707,65124,154875,4,365,4
0017,國立臺北大學,01 新北市,45759,11319,5186,7717,20602,67472,31806,45236,9756,175106,40796,149,6,55692,1309793,7962,964,40216,76832,2033718,6,158,34
